mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__model__optimizer,param_estimator__model__numnodes,param_estimator__model__numlayer,param_estimator__model__dropout_val_in,param_estimator__model__dropout_val_h,param_estimator__model__dropout,param_estimator__model__batchnorm,param_estimator__model__activations,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.235586166381836,0.8800420498616314,0.13671541213989258,0.013825961823416657,adam,64,1,0.2,0.5,yes,no,relu,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 64, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'yes', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'relu'}",0.7785234899328859,0.8457142857142858,0.7945205479452054,0.8062527745307925,0.028657571598981305,59
6.099501212437947,0.980769603062101,0.19798866907755533,0.019497831674440854,adam,32,2,0.0,0.3,no,yes,tanh,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.3, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'tanh'}",0.7412587412587412,0.8023952095808383,0.8104575163398693,0.7847038223931495,0.030896132483432006,87
5.2628763516743975,0.3359394078441471,0.13947375615437826,0.015831482740795107,adam,32,1,0.2,0.5,no,no,relu,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'relu'}",0.7763157894736842,0.8333333333333334,0.8,0.8032163742690059,0.023388157609147652,68
6.30741826693217,0.561492667895652,0.18790809313456217,0.008799937177923467,sgd,16,2,0.0,0.3,no,yes,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 16, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.3, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'tanh'}",0.7866666666666666,0.861878453038674,0.8289473684210527,0.8258308293754645,0.030784063128336685,12
10.127940575281778,1.8475709902999855,0.1253966490427653,0.0025647516054367226,sgd,32,1,0.2,0.5,yes,no,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'yes', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.7894736842105263,0.8306010928961749,0.8108108108108109,0.810295195972504,0.016794152361168296,45
8.524751822153727,2.215265567755223,0.129626194636027,0.009225195288893583,sgd,32,1,0.2,0.4,no,no,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.7515923566878981,0.8241758241758241,0.8181818181818182,0.7979833330151802,0.03289451869651311,77
5.7869696617126465,0.5503243286027814,0.1533376375834147,0.00790136413335567,sgd,16,1,0.2,0.3,no,yes,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 16, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.3, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'tanh'}",0.7612903225806451,0.8494623655913979,0.8211920529801324,0.8106482470507252,0.03676008863591293,42
7.437026898066203,0.16052184500351707,0.2150720755259196,0.0039015373635997255,adam,64,3,0.0,0.5,no,yes,relu,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 64, 'estimator__model__numlayer': 3, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'relu'}",0.76,0.7320261437908496,0.688,0.7266753812636164,0.029636385235237827,99
8.596129735310873,1.8468427651783152,0.5019015471140543,0.48658299612385325,sgd,32,1,0.2,0.5,yes,yes,relu,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'yes', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'relu'}",0.8,0.8852459016393442,0.7870967741935484,0.8241142252776309,0.04354640972684979,15
9.019213676452637,0.3919250574459608,0.23476600646972656,0.021812597123843615,sgd,32,3,0.0,0.3,yes,yes,relu,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 3, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.3, 'estimator__model__dropout': 'yes', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'relu'}",0.7885714285714286,0.8723404255319149,0.8026315789473685,0.8211811443502374,0.03662763979490511,22
5.2575450738271075,0.4891854862386844,0.15836803118387857,0.012377786110791104,adam,16,3,0.0,0.4,no,no,tanh,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 16, 'estimator__model__numlayer': 3, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.8108108108108109,0.8465608465608465,0.8129032258064516,0.8234249610593697,0.016381828318426103,16
4.838939189910889,0.6037261138431822,0.1418925921122233,0.004550052732715903,adam,32,2,0.2,0.4,no,no,tanh,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.7785234899328859,0.8248587570621468,0.8051948051948052,0.8028590173966127,0.018988262575665556,69
7.7048085530598955,2.604285418911211,0.13338788350423178,0.004802942658012474,sgd,32,2,0.0,0.4,no,no,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.7870967741935484,0.8248587570621468,0.8,0.8039851770852318,0.015671695607954544,64
5.043477296829224,0.5058188527379618,0.1317596435546875,0.001175912675237589,adam,16,2,0.0,0.3,no,no,tanh,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 16, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.3, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'tanh'}",0.7785234899328859,0.850828729281768,0.8289473684210527,0.8194331958785689,0.030275419278141546,25
7.191442807515462,0.4892862576828054,0.17372687657674155,0.007641850159528625,adam,64,1,0.0,0.4,yes,yes,relu,"{'estimator__model__optimizer': 'adam', 'estimator__model__numnodes': 64, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'yes', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'relu'}",0.7785234899328859,0.8670520231213873,0.8108108108108109,0.8187954412883615,0.036579967559892394,27
11.36538322766622,1.1694411187633305,0.1437065601348877,0.008884603422799417,sgd,32,2,0.2,0.5,no,no,relu,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 32, 'estimator__model__numlayer': 2, 'estimator__model__dropout_val_in': 0.2, 'estimator__model__dropout_val_h': 0.5, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'no', 'estimator__model__activations': 'relu'}",0.7612903225806451,0.861878453038674,0.8,0.8077229252064398,0.041426446283894205,55
6.437388976414998,0.7027545220188203,0.16307894388834634,0.008288483458361192,sgd,64,1,0.0,0.4,no,yes,tanh,"{'estimator__model__optimizer': 'sgd', 'estimator__model__numnodes': 64, 'estimator__model__numlayer': 1, 'estimator__model__dropout_val_in': 0, 'estimator__model__dropout_val_h': 0.4, 'estimator__model__dropout': 'no', 'estimator__model__batchnorm': 'yes', 'estimator__model__activations': 'tanh'}",0.7947019867549668,0.8681318681318682,0.8289473684210527,0.8305937411026293,0.030000219743766668,4
